state,district,police_station
ANDHRA PRADESH,ANANTAPUR,TADIMARRI
ANDHRA PRADESH,ANANTAPUR,TADIPATRI TALUK
ANDHRA PRADESH,ANANTAPUR,TADIPATRI URBAN
ANDHRA PRADESH,ANANTAPUR,TALUPULA
ANDHRA PRADESH,ANANTAPUR,TANAKAL
ANDHRA PRADESH,ANANTAPUR,TRAFFIC PS
ANDHRA PRADESH,ANANTAPUR,URVAKONDA
ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR
ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL
ANDHRA PRADESH,ANANTAPUR,WOMEN PS
ANDHRA PRADESH,ANANTAPUR,YADIKI
ANDHRA PRADESH,ANANTAPUR,YELLANUR
ANDHRA PRADESH,CHITTOOR,B. KOTHAKOTA
ANDHRA PRADESH,CHITTOOR,BAIREDDYPALLEM (M)
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM
ANDHRA PRADESH,CHITTOOR,BHAKARAPET
ANDHRA PRADESH,CHITTOOR,CCS CHITTOR
ANDHRA PRADESH,CHITTOOR,CHITTOOR TALUK
ANDHRA PRADESH,CHITTOOR,CHITTOOR TOWN 1
ANDHRA PRADESH,CHITTOOR,CHITTOOR TOWN 2
ANDHRA PRADESH,CHITTOOR,CHITTOOR TRAFFIC
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLI (M)
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLER
ANDHRA PRADESH,CHITTOOR,GANGAVARAM (M)
ANDHRA PRADESH,CHITTOOR,GUDIPALA (M)
ANDHRA PRADESH,CHITTOOR,GUDUPALLE (M) (CHIGURUGUNTA)
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA
ANDHRA PRADESH,CHITTOOR,IRALA (M)
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM
ANDHRA PRADESH,CHITTOOR,KALAKADA
ANDHRA PRADESH,CHITTOOR,KALIKIRI
ANDHRA PRADESH,CHITTOOR,KALLUR
ANDHRA PRADESH,CHITTOOR,KAMBHAVARIPALLE
ANDHRA PRADESH,CHITTOOR,KANIPAKAM
ANDHRA PRADESH,CHITTOOR,KARVETNAGAR
ANDHRA PRADESH,CHITTOOR,KUPPAM
ANDHRA PRADESH,CHITTOOR,MADANAPALLI TALUK
ANDHRA PRADESH,CHITTOOR,MADANAPALLI TOWN 1
ANDHRA PRADESH,CHITTOOR,MADANAPALLI TOWN 2
ANDHRA PRADESH,CHITTOOR,MOLAKALACHERUVU
ANDHRA PRADESH,CHITTOOR,MUDIVEDU
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM
ANDHRA PRADESH,CHITTOOR,NAGARI
ANDHRA PRADESH,CHITTOOR,NARAYANAVARAM (M)
ANDHRA PRADESH,CHITTOOR,NARSINGHARAYANIPET
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE
ANDHRA PRADESH,CHITTOOR,NINDRA
ANDHRA PRADESH,CHITTOOR,PAKALA
ANDHRA PRADESH,CHITTOOR,PALAMANER
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM
ANDHRA PRADESH,CHITTOOR,PANJANI
ANDHRA PRADESH,CHITTOOR,PEDDA THIPPASAMUDRAM
ANDHRA PRADESH,CHITTOOR,PEDDAMANDAYAM
ANDHRA PRADESH,CHITTOOR,PENUMUR
ANDHRA PRADESH,CHITTOOR,PICHATUR
ANDHRA PRADESH,CHITTOOR,PILER
ANDHRA PRADESH,CHITTOOR,PUNGANUR
ANDHRA PRADESH,CHITTOOR,PUTHALEPUT
ANDHRA PRADESH,CHITTOOR,PUTTUR
ANDHRA PRADESH,CHITTOOR,RALLABUDUGUR
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA
ANDHRA PRADESH,CHITTOOR,S.R. PURAM
ANDHRA PRADESH,CHITTOOR,SATYAVEEDU
ANDHRA PRADESH,CHITTOOR,SODAM
ANDHRA PRADESH,CHITTOOR,SOMALA
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE (M)
ANDHRA PRADESH,CHITTOOR,VARDAIHPALEM
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM (M)
ANDHRA PRADESH,CHITTOOR,VOYALPAD
ANDHRA PRADESH,CHITTOOR,WOMAN P.S CHITTOR
ANDHRA PRADESH,CHITTOOR,YADAMARI (M)
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM (M)
ANDHRA PRADESH,CUDDAPAH,ATLUR
ANDHRA PRADESH,CUDDAPAH,B. KODUR
ANDHRA PRADESH,CUDDAPAH,B. MATAM
ANDHRA PRADESH,CUDDAPAH,BRAHMANPALLI/GOPAVAR
ANDHRA PRADESH,CUDDAPAH,C. KOMMADINNE
ANDHRA PRADESH,CUDDAPAH,CCS CUDDAPAH
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET
ANDHRA PRADESH,CUDDAPAH,CHAPADU
ANDHRA PRADESH,CUDDAPAH,CHENNUR
ANDHRA PRADESH,CUDDAPAH,CHINNA CHOWK
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM
ANDHRA PRADESH,CUDDAPAH,CHITVEL
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH TALUK
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH TOWN 1
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH TOWN 2
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH TRAFFIC
ANDHRA PRADESH,CUDDAPAH,DUVVUR
ANDHRA PRADESH,CUDDAPAH,FACTION ZONE CUDDAPAH
ANDHRA PRADESH,CUDDAPAH,FACTION ZONE PRODDATUR
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU
ANDHRA PRADESH,CUDDAPAH,GANGIREDDIPALLI
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU
ANDHRA PRADESH,CUDDAPAH,KAJIPET
ANDHRA PRADESH,CUDDAPAH,KALAMALA
ANDHRA PRADESH,CUDDAPAH,KALASAPAD
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM
ANDHRA PRADESH,CUDDAPAH,KODUR
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLI
ANDHRA PRADESH,CUDDAPAH,LINGALA
ANDHRA PRADESH,CUDDAPAH,MANNUR
ANDHRA PRADESH,CUDDAPAH,MUDDANUR
ANDHRA PRADESH,CUDDAPAH,MYDUKUR
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM
ANDHRA PRADESH,CUDDAPAH,NANDALUR
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLI
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI
ANDHRA PRADESH,CUDDAPAH,PENGALUR
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA
ANDHRA PRADESH,CUDDAPAH,PRODDATUR TOWN 1
ANDHRA PRADESH,CUDDAPAH,PRODDATUR TOWN 2
ANDHRA PRADESH,CUDDAPAH,PRODDATUR TOWN 3
ANDHRA PRADESH,CUDDAPAH,PRODDATUR TRAFFIC
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA
ANDHRA PRADESH,CUDDAPAH,RAJEMPET
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLI (M)
ANDHRA PRADESH,CUDDAPAH,SIDHOUT
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLI
ANDHRA PRADESH,CUDDAPAH,TALAMANCHIPATNAM
ANDHRA PRADESH,CUDDAPAH,THALLAMPRODDATUR
ANDHRA PRADESH,CUDDAPAH,THONDUR
ANDHRA PRADESH,CUDDAPAH,VALLUR
ANDHRA PRADESH,CUDDAPAH,VEERABALLI
ANDHRA PRADESH,CUDDAPAH,VEMPALLI
ANDHRA PRADESH,CUDDAPAH,VEMULLA
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA
ANDHRA PRADESH,CUDDAPAH,WOMEN P.S CUDDAPAH
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTALA
ANDHRA PRADESH,GODAVARI EAST,ADDATEEGALU
ANDHRA PRADESH,GODAVARI EAST,ALAMURU
ANDHRA PRADESH,GODAVARI EAST,ALAVARAM
ANDHRA PRADESH,GODAVARI EAST,AMALAPURAM TALUKA
ANDHRA PRADESH,GODAVARI EAST,AMALAPURAM TOWN
ANDHRA PRADESH,GODAVARI EAST,AMBAJIPETA
ANDHRA PRADESH,GODAVARI EAST,ANAPARTHI
ANDHRA PRADESH,GODAVARI EAST,ANGARA
ANDHRA PRADESH,GODAVARI EAST,ANNAVARAM
ANDHRA PRADESH,GODAVARI EAST,ANTHARVEDIPALEM MARINE PS
ANDHRA PRADESH,GODAVARI EAST,ATREYAPURAM
ANDHRA PRADESH,GODAVARI EAST,BICCAVOLE
ANDHRA PRADESH,GODAVARI EAST,CORINGA
ANDHRA PRADESH,GODAVARI EAST,DEVIPATNAM
ANDHRA PRADESH,GODAVARI EAST,DONKARAI
ANDHRA PRADESH,GODAVARI EAST,DRAKSHARAMA
ANDHRA PRADESH,GODAVARI EAST,DUTCHARTHI
ANDHRA PRADESH,GODAVARI EAST,GANDEPALLI
ANDHRA PRADESH,GODAVARI EAST,GANGAVARAM
ANDHRA PRADESH,GODAVARI EAST,GOLLAPALEM
ANDHRA PRADESH,GODAVARI EAST,GOLLAPROLU
ANDHRA PRADESH,GODAVARI EAST,GURTHEDU
ANDHRA PRADESH,GODAVARI EAST,I. POLAVARAM
ANDHRA PRADESH,GODAVARI EAST,INDRAPALEM
ANDHRA PRADESH,GODAVARI EAST,INNAVILLI
ANDHRA PRADESH,GODAVARI EAST,JADDANGI
ANDHRA PRADESH,GODAVARI EAST,JAGGAMPETA
ANDHRA PRADESH,GODAVARI EAST,KAKINADA I TOWN CCS
ANDHRA PRADESH,GODAVARI EAST,KAKINADA II TOWN CCS
ANDHRA PRADESH,GODAVARI EAST,KAKINADA III TOWN CCS
ANDHRA PRADESH,GODAVARI EAST,KAKINADA PORT
ANDHRA PRADESH,GODAVARI EAST,KAKINADA TOWN 1
ANDHRA PRADESH,GODAVARI EAST,KAKINADA TOWN 2
ANDHRA PRADESH,GODAVARI EAST,KAKINADA TOWN 3
ANDHRA PRADESH,GODAVARI EAST,KAKINADA TRAFFIC
ANDHRA PRADESH,GODAVARI EAST,KARAPA
ANDHRA PRADESH,GODAVARI EAST,KATRENIKONA
ANDHRA PRADESH,GODAVARI EAST,KIRLAMPUDI
ANDHRA PRADESH,GODAVARI EAST,KOTANANDURU
ANDHRA PRADESH,GODAVARI EAST,KOTHAPETA
ANDHRA PRADESH,GODAVARI EAST,MALIKIPURAM
ANDHRA PRADESH,GODAVARI EAST,MANDAPETA RURAL
ANDHRA PRADESH,GODAVARI EAST,MANDAPETA TOWN
ANDHRA PRADESH,GODAVARI EAST,MAREDIMILLI
ANDHRA PRADESH,GODAVARI EAST,MUMMIDIVARAM
ANDHRA PRADESH,GODAVARI EAST,NAGARAM
ANDHRA PRADESH,GODAVARI EAST,P. GANNAVARAM
ANDHRA PRADESH,GODAVARI EAST,PAMARRU
ANDHRA PRADESH,GODAVARI EAST,PEDAPUDI
ANDHRA PRADESH,GODAVARI EAST,PEDDAPURAM
ANDHRA PRADESH,GODAVARI EAST,PITHAPURAM RURAL
ANDHRA PRADESH,GODAVARI EAST,PITHAPURAM TOWN
ANDHRA PRADESH,GODAVARI EAST,PRATHIPADU
ANDHRA PRADESH,GODAVARI EAST,RAJAVOMMANGI
ANDHRA PRADESH,GODAVARI EAST,RAMACHANDRAPURAM
ANDHRA PRADESH,GODAVARI EAST,RAMPACHODAVARAM
ANDHRA PRADESH,GODAVARI EAST,RANGAMPETA
ANDHRA PRADESH,GODAVARI EAST,RAVULAPALEM
ANDHRA PRADESH,GODAVARI EAST,RAYAVARAM
ANDHRA PRADESH,GODAVARI EAST,RAZOLE
ANDHRA PRADESH,GODAVARI EAST,SAKHINETIPALLY
ANDHRA PRADESH,GODAVARI EAST,SAMALKOTA
ANDHRA PRADESH,GODAVARI EAST,SARPAVARAM
ANDHRA PRADESH,GODAVARI EAST,THIMMAPURAM
ANDHRA PRADESH,GODAVARI EAST,THONDANGI
ANDHRA PRADESH,GODAVARI EAST,TRAFFIC PS-II KAKINADA
ANDHRA PRADESH,GODAVARI EAST,TUNI RURAL
ANDHRA PRADESH,GODAVARI EAST,TUNI TOWN
ANDHRA PRADESH,GODAVARI EAST,U. KOTHAPALLI
ANDHRA PRADESH,GODAVARI EAST,UPPALAGUPTAM (M)
ANDHRA PRADESH,GODAVARI EAST,VAKALAPUDI MARINE PS KAKINADA
ANDHRA PRADESH,GODAVARI EAST,VODALAREVU MARINE PS
ANDHRA PRADESH,GODAVARI EAST,WOMEN PS KAKINADA
ANDHRA PRADESH,GODAVARI EAST,Y. RAMAVARAM
ANDHRA PRADESH,GODAVARI EAST,YELESWARAM
ANDHRA PRADESH,GODAVARI WEST,ACHANTA
ANDHRA PRADESH,GODAVARI WEST,AKIVEEDU
ANDHRA PRADESH,GODAVARI WEST,ANANTAPALLI
ANDHRA PRADESH,GODAVARI WEST,ATTILI
ANDHRA PRADESH,GODAVARI WEST,BHIMADOLE
ANDHRA PRADESH,GODAVARI WEST,BHIMAVARAM TALUQ
ANDHRA PRADESH,GODAVARI WEST,BHIMAVARAM TOWN 1
ANDHRA PRADESH,GODAVARI WEST,BHIMAVARAM TOWN 2
ANDHRA PRADESH,GODAVARI WEST,BHIMAVARAM TRAFFIC
ANDHRA PRADESH,GODAVARI WEST,BUTTAIGUDEM
ANDHRA PRADESH,GODAVARI WEST,CCS ELURU (WG)
ANDHRA PRADESH,GODAVARI WEST,CHAGALLU
ANDHRA PRADESH,GODAVARI WEST,CHEBROLE
ANDHRA PRADESH,GODAVARI WEST,CHINTHALPUDI
ANDHRA PRADESH,GODAVARI WEST,DENDULURU
ANDHRA PRADESH,GODAVARI WEST,DEVERAPALLI
ANDHRA PRADESH,GODAVARI WEST,DHARMAJIGUDEM
ANDHRA PRADESH,GODAVARI WEST,DWARAKAPTIRUMALA
ANDHRA PRADESH,GODAVARI WEST,ELURU 3TOWN
ANDHRA PRADESH,GODAVARI WEST,ELURU RURAL
ANDHRA PRADESH,GODAVARI WEST,ELURU TOWN 1
ANDHRA PRADESH,GODAVARI WEST,ELURU TOWN 2
ANDHRA PRADESH,GODAVARI WEST,ELURU TRAFFIC
ANDHRA PRADESH,GODAVARI WEST,GANAPAVARAM
ANDHRA PRADESH,GODAVARI WEST,GOPALAPURAM
ANDHRA PRADESH,GODAVARI WEST,IRAGAVARAM
ANDHRA PRADESH,GODAVARI WEST,JANGAREDDIGUDEM
ANDHRA PRADESH,GODAVARI WEST,JANGAREDDY GUDEM TRAFFIC
ANDHRA PRADESH,GODAVARI WEST,JEELUGUMILLI
ANDHRA PRADESH,GODAVARI WEST,KALLA
ANDHRA PRADESH,GODAVARI WEST,KOVVUR
ANDHRA PRADESH,GODAVARI WEST,KOVVUR TOWN
ANDHRA PRADESH,GODAVARI WEST,KOYYALAGUDEM
ANDHRA PRADESH,GODAVARI WEST,LAKKAVARAM
ANDHRA PRADESH,GODAVARI WEST,MOGALTUR
ANDHRA PRADESH,GODAVARI WEST,NARASAPUR TALUK
ANDHRA PRADESH,GODAVARI WEST,NARSAPUR TN
ANDHRA PRADESH,GODAVARI WEST,NIDADVOLU
ANDHRA PRADESH,GODAVARI WEST,NIDAMARRU
ANDHRA PRADESH,GODAVARI WEST,PALAKOL TALUK
ANDHRA PRADESH,GODAVARI WEST,PALAKOL TOWN
ANDHRA PRADESH,GODAVARI WEST,PALAKONDERU
ANDHRA PRADESH,GODAVARI WEST,PEDAVEGI
ANDHRA PRADESH,GODAVARI WEST,PEDDAPADU
ANDHRA PRADESH,GODAVARI WEST,PENMANTRA
ANDHRA PRADESH,GODAVARI WEST,PENTAPADU
ANDHRA PRADESH,GODAVARI WEST,PENUGONDA
ANDHRA PRADESH,GODAVARI WEST,PERAVALLI
ANDHRA PRADESH,GODAVARI WEST,PODURU
ANDHRA PRADESH,GODAVARI WEST,POLAVARAM
ANDHRA PRADESH,GODAVARI WEST,SAMISRAGUDEM
ANDHRA PRADESH,GODAVARI WEST,T. NARASAPUR
ANDHRA PRADESH,GODAVARI WEST,TADEPALLI GUDEM TRAFFIC
ANDHRA PRADESH,GODAVARI WEST,TADEPALLIGUDEM TALUK
ANDHRA PRADESH,GODAVARI WEST,TADEPALLIGUDEM TN
ANDHRA PRADESH,GODAVARI WEST,TADIKALAPUDI
ANDHRA PRADESH,GODAVARI WEST,TALLAPUDI
ANDHRA PRADESH,GODAVARI WEST,TANKU TALUK
ANDHRA PRADESH,GODAVARI WEST,TANKU TOWN
ANDHRA PRADESH,GODAVARI WEST,TANUKU TRAFFIC
ANDHRA PRADESH,GODAVARI WEST,UNDI (M)
ANDHRA PRADESH,GODAVARI WEST,UNDRAJAVARAM
ANDHRA PRADESH,GODAVARI WEST,VEERAVASARAM
ANDHRA PRADESH,GODAVARI WEST,WOMEN P.S.
ANDHRA PRADESH,GODAVARI WEST,YELAMANCHILI
ANDHRA PRADESH,GRP GUNTAKAL,ADONI
ANDHRA PRADESH,GRP GUNTAKAL,ANANTAPUR
ANDHRA PRADESH,GRP GUNTAKAL,CHITTOOR
ANDHRA PRADESH,GRP GUNTAKAL,CUDDAPAH
ANDHRA PRADESH,GRP GUNTAKAL,DHARMAVARAM
ANDHRA PRADESH,GRP GUNTAKAL,GOOTY
ANDHRA PRADESH,GRP GUNTAKAL,GUDUR
ANDHRA PRADESH,GRP GUNTAKAL,GUNTAKAL
ANDHRA PRADESH,GRP GUNTAKAL,HINDUPUR
ANDHRA PRADESH,GRP GUNTAKAL,KADIRI
ANDHRA PRADESH,GRP GUNTAKAL,KAVALI
ANDHRA PRADESH,GRP GUNTAKAL,KAVLI
ANDHRA PRADESH,GRP GUNTAKAL,KURNOOL
ANDHRA PRADESH,GRP GUNTAKAL,NANDYAL
ANDHRA PRADESH,GRP GUNTAKAL,NELLORE
ANDHRA PRADESH,GRP GUNTAKAL,ONGOLE
ANDHRA PRADESH,GRP GUNTAKAL,RENIGUNTA
ANDHRA PRADESH,GRP GUNTAKAL,TIRUPATHY
ANDHRA PRADESH,GRP GUNTAKAL,YERAGUNTLA
ANDHRA PRADESH,GRP SECUNDERABAD,NALGONDA
ANDHRA PRADESH,GRP SECUNDERABAD,DORNAKAL
ANDHRA PRADESH,GRP SECUNDERABAD,HYDERABAD
ANDHRA PRADESH,GRP SECUNDERABAD,KACHIGUDA
ANDHRA PRADESH,GRP SECUNDERABAD,KAZIPET
ANDHRA PRADESH,GRP SECUNDERABAD,KHAMMAM
ANDHRA PRADESH,GRP SECUNDERABAD,MANCERIAL
ANDHRA PRADESH,GRP SECUNDERABAD,MEHABOOBNAGAR
ANDHRA PRADESH,GRP SECUNDERABAD,NIZAMBAD
ANDHRA PRADESH,GRP SECUNDERABAD,SECUNDERABAD
ANDHRA PRADESH,GRP SECUNDERABAD,VIKARABAD
ANDHRA PRADESH,GRP SECUNDERABAD,WARANGAL
ANDHRA PRADESH,GRP VIJAYAWADA,BHIMAVARAM
ANDHRA PRADESH,GRP VIJAYAWADA,ELLURU
ANDHRA PRADESH,GRP VIJAYAWADA,GUDIWADA
ANDHRA PRADESH,GRP VIJAYAWADA,GUNTUR
ANDHRA PRADESH,GRP VIJAYAWADA,NADIKUDI
ANDHRA PRADESH,GRP VIJAYAWADA,NARASARAOPET
ANDHRA PRADESH,GRP VIJAYAWADA,PALASA
ANDHRA PRADESH,GRP VIJAYAWADA,RAJAHMUNDRY
ANDHRA PRADESH,GRP VIJAYAWADA,SAMALKOT
ANDHRA PRADESH,GRP VIJAYAWADA,TADEPALLY
ANDHRA PRADESH,GRP VIJAYAWADA,TENALI
ANDHRA PRADESH,GRP VIJAYAWADA,TUNI
ANDHRA PRADESH,GRP VIJAYAWADA,VIJAYAWADA
ANDHRA PRADESH,GRP VIJAYAWADA,VISHAKHAPATNAM
ANDHRA PRADESH,GRP VIJAYAWADA,VIZIANAGARAM
ANDHRA PRADESH,GUNTUR,ADAVALADEEVI
ANDHRA PRADESH,GUNTUR,AMARAVATHI
ANDHRA PRADESH,GUNTUR,AMARTHALUR
ANDHRA PRADESH,GUNTUR,ATCHAMPET
ANDHRA PRADESH,GUNTUR,BANDLAMOTU
ANDHRA PRADESH,GUNTUR,BAPATLA TALUK
ANDHRA PRADESH,GUNTUR,BAPATLA TOWN
ANDHRA PRADESH,GUNTUR,BATTIPROLU
ANDHRA PRADESH,GUNTUR,BELLAMKONDA
ANDHRA PRADESH,GUNTUR,CHERUKUPALLI
ANDHRA PRADESH,GUNTUR,CHILAKALURIPETA (R)
ANDHRA PRADESH,GUNTUR,CHILAKALURIPETA TOWN
